arc_length,t100,t50,q50,q100
1.2092,1,1,1,1
1.2162,1,1,1,1
1.2233,1,1,1,1
1.2304,1,1,1,1
1.2374,1,1,1,1
1.2445,1,1,1,1
1.2516,1,1,1,1
1.2587,1,1,1,1
1.2657,1,1,1,1
1.2728,1,1,1,1
1.2799,1,1,1,1
1.2869,1,1,1,1
1.294,1,1,1,1
1.3011,1,1,1,1
1.3081,1,1,1,1
1.3152,1,1,1,1
1.3223,1,1,1,1
1.3294,1,1,1,1
1.3364,1,1,1,1
1.3435,1,1,1,1
1.3506,1,1,1,1
1.3576,1,1,1,1
1.3647,1,1,1,1
1.3718,1,1,1,1
1.3789,1,1,1,1
1.3859,1,1,1,1
1.393,1,1,1,1
1.4001,1,1,1,1
1.4071,1,1,1,1
1.4142,1,1,1,1
