T,U:0,p
"291,02","160,92",53310
"290,61","162,1",53052
"290,21","163,29",52795
"289,81","164,47",52539
"289,4","165,66",52285
289,"166,84",52031
"288,6","168,03",51778
"288,2","169,21",51527
"287,79","170,4",51276
"287,39","171,58",51027
"286,99","172,77",50779
"286,59","173,95",50531
"286,19","175,14",50285
"285,79","176,32",50040
"285,39","177,51",49795
"284,99","178,69",49552
"284,59","179,88",49310
"284,19","181,06",49069
"283,79","182,25",48829
"283,39","183,43",48590
283,"184,62",48351
"282,6","185,8",48114
"282,2","186,99",47878
"281,8","188,17",47643
"281,41","189,36",47409
"281,01","190,54",47176
"280,61","191,73",46944
"280,22","192,91",46713
"279,82","194,09",46482
"279,42","195,28",46253
"279,03","196,46",46025
"278,63","197,65",45798
"278,24","198,83",45571
"277,84","200,02",45346
"277,45","201,2",45122
"277,06","202,38",44898
"276,66","203,57",44676
"276,27","204,75",44455
"275,88","205,94",44234
"275,48","207,12",44015
"275,09","208,3",43796
"274,7","209,49",43578
"274,31","210,67",43362
"273,92","211,85",43146
"273,53","213,04",42931
"273,13","214,22",42717
"272,74","215,41",42504
"272,35","216,59",42292
"271,96","217,77",42081
"271,57","218,95",41871
"271,19","220,14",41662
"270,8","221,32",41453
"270,41","222,5",41246
"270,02","223,69",41039
"269,63","224,87",40834
"269,24","226,05",40629
"268,86","227,23",40425
"268,47","228,41",40222
"268,08","229,6",40020
"267,7","230,78",39819
"267,31","231,96",39619
"266,93","233,14",39420
"266,54","234,32",39221
"266,15","235,5",39024
"265,77","236,68",38827
"265,39","237,86",38631
265,"239,04",38437
"264,62","240,22",38243
"264,24","241,4",38050
"263,85","242,58",37857
"263,47","243,76",37666
"263,09","244,94",37476
"262,71","246,11",37286
"262,33","247,29",37098
"261,95","248,47",36910
"261,57","249,64",36723
"261,19","250,82",36537
"260,81","251,99",36352
"260,43","253,17",36168
"260,05","254,34",35985
"259,67","255,52",35803
"259,3","256,69",35622
"258,92","257,86",35441
"258,54","259,03",35262
"258,17","260,2",35083
"257,79","261,36",34906
"257,42","262,53",34729
"257,05","263,7",34554
"256,67","264,86",34379
"256,3","266,02",34206
"255,93","267,18",34033
"255,56","268,33",33862
"255,19","269,49",33692
"254,83","270,64",33523
"254,46","271,78",33355
"254,1","272,93",33189
"253,74","274,06",33024
"253,38","275,2",32861
"253,02","276,32",32699
"252,66","277,44",32538
"252,31","278,55",32380
"251,96","279,65",32224
"251,62","280,74",32070
"251,28","281,82",31919
"250,94","282,88",31770
"250,61","283,91",31625
"250,29","284,93",31484
"249,98","285,92",31347
"249,68","286,87",31215
"249,39","287,78",31090
"249,12","288,64",30971
"248,87","289,45",30861
"248,63","290,19",30760
"248,43","290,85",30670
"248,25","291,43",30591
"248,09","291,92",30525
"247,97","292,31",30472
"247,88","292,61",30430
"247,81","292,84",30400
"247,76","292,99",30380
"247,73","293,08",30367
"247,71","293,14",30359
"247,7","293,17",30355
"247,7","293,19",30352
"247,7","293,2",30351
"247,69","293,2",30351
"247,69","293,2",30350
"247,69","293,2",30350
"247,69","293,2",30350
"247,69","293,2",30350
"247,69","293,2",30350
"247,69","293,2",30350
"247,69","293,2",30350
"247,69","293,2",30350
"247,69","293,2",30350
"247,69","293,2",30350
"247,69","293,21",30350
"247,69","293,21",30350
"247,69","293,21",30350
"247,69","293,21",30350
"247,69","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
"247,7","293,21",30350
