# Region      : all 
# Cells       : 7700
# Volume      : 4.962599e-03
# Time        	volIntegrate(alpha.water)
0.33818       	6.190936e-04
0.338437      	6.190936e-04
0.338689      	6.190936e-04
0.338935      	6.190936e-04
0.33918       	6.190936e-04
0.339421      	6.190936e-04
0.339661      	6.190936e-04
0.339902      	6.190936e-04
0.340142      	6.190936e-04
0.340383      	6.190935e-04
0.340617      	6.190935e-04
0.340852      	6.190935e-04
0.341086      	6.190935e-04
0.341327      	6.190935e-04
0.341568      	6.190935e-04
0.341816      	6.190935e-04
0.342072      	6.190934e-04
0.342345      	6.190934e-04
0.342629      	6.190934e-04
0.342924      	6.190934e-04
0.343245      	6.190934e-04
0.343583      	6.190933e-04
0.34394       	6.190933e-04
0.344318      	6.190932e-04
0.344724      	6.190931e-04
0.345164      	6.190929e-04
0.345647      	6.190926e-04
0.346131      	6.190922e-04
0.346615      	6.190918e-04
0.347098      	6.190912e-04
0.347582      	6.190905e-04
0.348066      	6.190896e-04
0.348549      	6.190884e-04
0.349033      	6.190869e-04
0.349516      	6.190850e-04
0.35          	6.190826e-04
0.350538      	6.190788e-04
0.351113      	6.190730e-04
0.351695      	6.190651e-04
0.35227       	6.190550e-04
0.352852      	6.190420e-04
0.353441      	6.190257e-04
0.354038      	6.190055e-04
0.354627      	6.189812e-04
0.355217      	6.189516e-04
0.355806      	6.189156e-04
0.356403      	6.188698e-04
0.357         	6.188132e-04
0.357598      	6.187439e-04
0.358195      	6.186612e-04
0.358801      	6.185634e-04
0.359416      	6.184500e-04
0.36003       	6.183224e-04
0.360645      	6.181806e-04
0.36126       	6.180247e-04
0.361875      	6.178551e-04
0.36249       	6.176725e-04
0.363115      	6.174743e-04
0.363751      	6.172595e-04
0.364387      	6.170317e-04
0.365023      	6.167920e-04
0.365659      	6.165434e-04
0.366295      	6.162887e-04
0.366931      	6.160306e-04
0.367579      	6.157667e-04
0.368228      	6.155063e-04
0.36889       	6.152501e-04
0.369552      	6.150062e-04
0.370214      	6.147763e-04
0.370875      	6.145614e-04
0.371537      	6.143616e-04
0.372199      	6.141768e-04
0.372861      	6.140052e-04
0.373523      	6.138454e-04
0.374202      	6.136932e-04
0.374881      	6.135529e-04
0.37556       	6.134240e-04
0.376239      	6.133052e-04
0.376918      	6.131947e-04
0.377597      	6.130915e-04
0.378275      	6.129945e-04
0.378954      	6.129022e-04
0.379633      	6.128136e-04
0.380312      	6.127290e-04
0.380991      	6.126489e-04
0.38167       	6.125726e-04
0.382349      	6.125000e-04
0.383028      	6.124315e-04
0.383707      	6.123673e-04
0.384385      	6.123074e-04
0.385064      	6.122517e-04
0.385743      	6.122001e-04
0.386422      	6.121528e-04
0.387101      	6.121094e-04
0.38778       	6.120700e-04
0.388459      	6.120346e-04
0.389138      	6.120031e-04
0.389862      	6.119734e-04
0.390586      	6.119471e-04
0.39131       	6.119239e-04
0.3921        	6.119017e-04
0.39289       	6.118819e-04
0.39368       	6.118643e-04
0.39447       	6.118484e-04
0.39526       	6.118341e-04
0.39605       	6.118211e-04
0.39684       	6.118092e-04
0.39763       	6.117984e-04
0.39842       	6.117885e-04
0.39921       	6.117792e-04
0.4           	6.117707e-04
0.400893      	6.117616e-04
0.401895      	6.117521e-04
0.403014      	6.117421e-04
0.40425       	6.117315e-04
0.405596      	6.117200e-04
0.407076      	6.117064e-04
0.408609      	6.116891e-04
0.410201      	6.116652e-04
0.411793      	6.116313e-04
0.413321      	6.115862e-04
0.414916      	6.115248e-04
0.416441      	6.114473e-04
0.417967      	6.113572e-04
0.419492      	6.112543e-04
0.420945      	6.111474e-04
0.422398      	6.110341e-04
0.42385       	6.109212e-04
0.425227      	6.108201e-04
0.426603      	6.107210e-04
0.427979      	6.106289e-04
0.429275      	6.105477e-04
0.43057       	6.104692e-04
0.431865      	6.103919e-04
0.433161      	6.103189e-04
0.434456      	6.102466e-04
0.435652      	6.101794e-04
0.436847      	6.101018e-04
0.438043      	6.100147e-04
0.439239      	6.099246e-04
0.440434      	6.098238e-04
0.44163       	6.097109e-04
0.442826      	6.095877e-04
0.443851      	6.094760e-04
0.444876      	6.093625e-04
0.4459        	6.092486e-04
0.446925      	6.091360e-04
0.44795       	6.090258e-04
0.448975      	6.089181e-04
0.45          	6.088133e-04
0.45102       	6.087118e-04
0.45202       	6.086152e-04
0.452999      	6.085234e-04
0.453886      	6.084424e-04
0.454695      	6.083705e-04
0.455414      	6.083082e-04
0.45608       	6.082518e-04
0.456716      	6.081989e-04
0.457334      	6.081482e-04
0.457953      	6.080983e-04
0.458562      	6.080500e-04
0.459172      	6.080026e-04
0.45979       	6.079553e-04
0.460418      	6.079081e-04
0.461067      	6.078604e-04
0.461716      	6.078136e-04
0.4624        	6.077653e-04
0.463096      	6.077172e-04
0.463792      	6.076702e-04
0.464502      	6.076233e-04
0.465198      	6.075787e-04
0.465894      	6.075359e-04
0.466605      	6.074935e-04
0.467331      	6.074515e-04
0.468057      	6.074106e-04
0.468783      	6.073707e-04
0.469526      	6.073307e-04
0.470288      	6.072901e-04
0.47105       	6.072498e-04
0.471812      	6.072096e-04
0.472574      	6.071697e-04
0.473335      	6.071301e-04
0.474097      	6.070909e-04
0.474859      	6.070522e-04
0.475621      	6.070139e-04
0.476383      	6.069762e-04
0.477121      	6.069399e-04
0.477859      	6.069039e-04
0.478622      	6.068669e-04
0.479386      	6.068302e-04
0.480149      	6.067940e-04
0.480885      	6.067596e-04
0.48162       	6.067259e-04
0.482355      	6.066926e-04
0.483122      	6.066586e-04
0.483889      	6.066251e-04
0.484656      	6.065922e-04
0.485424      	6.065598e-04
0.486191      	6.065280e-04
0.486958      	6.064969e-04
0.487683      	6.064682e-04
0.488407      	6.064403e-04
0.489132      	6.064130e-04
0.489856      	6.063862e-04
0.490581      	6.063600e-04
0.491305      	6.063343e-04
0.49203       	6.063093e-04
0.492694      	6.062868e-04
0.493358      	6.062649e-04
0.494022      	6.062436e-04
0.494687      	6.062229e-04
0.495351      	6.062029e-04
0.496015      	6.061835e-04
0.496679      	6.061649e-04
0.497343      	6.061470e-04
0.498007      	6.061297e-04
0.498672      	6.061130e-04
0.499336      	6.060969e-04
0.5           	6.060815e-04
0.500704      	6.060660e-04
0.501419      	6.060509e-04
0.502133      	6.060367e-04
0.502848      	6.060230e-04
0.503562      	6.060100e-04
0.504276      	6.059975e-04
0.504991      	6.059855e-04
0.505705      	6.059740e-04
0.50642       	6.059630e-04
0.507134      	6.059523e-04
0.507849      	6.059418e-04
0.508563      	6.059315e-04
0.50929       	6.059211e-04
0.510004      	6.059111e-04
0.510718      	6.059012e-04
0.511433      	6.058916e-04
0.51216       	6.058822e-04
0.512888      	6.058732e-04
0.51363       	6.058645e-04
0.514372      	6.058564e-04
0.51513       	6.058487e-04
0.515888      	6.058415e-04
0.516647      	6.058348e-04
0.517388      	6.058287e-04
0.518112      	6.058233e-04
0.518837      	6.058183e-04
0.519579      	6.058136e-04
0.52034       	6.058092e-04
0.52112       	6.058050e-04
0.521922      	6.058011e-04
0.522748      	6.057974e-04
0.523574      	6.057941e-04
0.5244        	6.057910e-04
0.525253      	6.057882e-04
0.526107      	6.057856e-04
0.52696       	6.057832e-04
0.527813      	6.057810e-04
0.528701      	6.057789e-04
0.529588      	6.057770e-04
0.530476      	6.057752e-04
0.531363      	6.057736e-04
0.532251      	6.057721e-04
0.533138      	6.057707e-04
0.534025      	6.057695e-04
0.534913      	6.057683e-04
0.5358        	6.057673e-04
0.536688      	6.057664e-04
0.537575      	6.057655e-04
0.538463      	6.057648e-04
0.53935       	6.057641e-04
0.540238      	6.057635e-04
0.541125      	6.057629e-04
0.542013      	6.057622e-04
0.5429        	6.057616e-04
0.543788      	6.057610e-04
0.544564      	6.057604e-04
0.545341      	6.057598e-04
0.546117      	6.057592e-04
0.546894      	6.057585e-04
0.54767       	6.057579e-04
0.548447      	6.057572e-04
0.549223      	6.057565e-04
0.55          	6.057558e-04
0.550862      	6.057550e-04
0.55174       	6.057542e-04
0.552601      	6.057534e-04
0.553448      	6.057526e-04
0.554264      	6.057519e-04
0.555053      	6.057512e-04
0.555828      	6.057505e-04
0.55659       	6.057498e-04
0.557351      	6.057492e-04
0.558086      	6.057486e-04
0.558822      	6.057480e-04
0.559544      	6.057474e-04
0.560267      	6.057468e-04
0.560976      	6.057463e-04
0.561686      	6.057457e-04
0.562382      	6.057451e-04
0.563079      	6.057445e-04
0.563776      	6.057438e-04
0.564486      	6.057432e-04
0.565196      	6.057425e-04
0.565892      	6.057418e-04
0.566588      	6.057411e-04
0.567284      	6.057404e-04
0.567996      	6.057397e-04
0.568691      	6.057390e-04
0.569387      	6.057383e-04
0.570083      	6.057376e-04
0.570779      	6.057369e-04
0.571474      	6.057362e-04
0.57217       	6.057355e-04
0.572866      	6.057349e-04
0.57358       	6.057342e-04
0.574314      	6.057335e-04
0.575069      	6.057327e-04
0.575848      	6.057320e-04
0.576653      	6.057313e-04
0.577487      	6.057305e-04
0.578353      	6.057297e-04
0.579294      	6.057289e-04
0.58028       	6.057280e-04
0.581219      	6.057271e-04
0.582114      	6.057262e-04
0.583008      	6.057253e-04
0.583857      	6.057244e-04
0.584707      	6.057234e-04
0.585557      	6.057224e-04
0.586406      	6.057214e-04
0.587206      	6.057203e-04
0.588006      	6.057193e-04
0.588805      	6.057181e-04
0.589605      	6.057170e-04
0.590404      	6.057158e-04
0.591204      	6.057145e-04
0.592004      	6.057133e-04
0.592731      	6.057121e-04
0.593458      	6.057110e-04
0.594112      	6.057099e-04
0.594766      	6.057089e-04
0.595348      	6.057080e-04
0.595929      	6.057071e-04
0.596511      	6.057063e-04
0.597009      	6.057055e-04
0.597508      	6.057048e-04
0.598006      	6.057041e-04
0.598505      	6.057034e-04
